"Prices of Select Food Items Per Kilogram and Litre, by Community and Region, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baffin,,,,,,,,,,,,,Kivalliq,,,,,,,Kitikmeot,,,,,Global Averages,,,,,,
,Cape Dorset,Hall Beach,Igloolik,Iqaluit,Kimmirut,Pangnirtung,Qikiqtarjuaq,Sanikiluaq,Arctic Bay,Clyde River,Resolute,Grise Fiord,Pond Inlet,Arviat,Baker Lake,Chesterfield Inlet,Coral Harbour,Rankin Inlet,Naujaat,Whale Cove,Cambridge Bay,Gjoa Haven,Kugaaruk,Kugluktuk,Taloyoak,Qikiqtaaluk,Kivalliq,Kitikmeot,Nunavut,,,
Item and Size(s)1,Per Kilogram ($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grams of Items,Price of the item in Grams,ID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomatoes [1kg],8.99,14.99,8.99,12.52,7.25,12.65,11.99,4.49,9.37,…,8.10,11.44,10.31,14.69,9.24,6.59,15.99,8.19,9.99,8.19,8.24,12.02,…,8.70,13.89,10.09,10.41,10.71,10.30,1.00,0.01,2543214.00
Onions [1kg],6.37,4.93,4.86,5.98,3.68,5.49,6.79,6.08,4.36,6.23,4.04,3.87,7.23,4.25,5.82,4.25,6.00,5.34,5.08,2.93,4.37,6.71,…,5.90,5.13,5.38,4.81,5.52,5.24,1.00,0.01,2345315.00
Potatoes [2.27kg Bags],3.42,2.51,2.86,6.06,2.46,4.24,5.79,3.83,3.41,3.44,4.38,…,3.70,2.81,3.96,2.33,4.86,2.48,3.38,2.20,3.52,4.00,3.96,3.36,…,3.84,3.15,3.71,3.61,2.27,0.01,1864190.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
Peanut Butter [1kg],12.69,10.23,8.76,12.86,12.79,11.33,10.12,12.99,11.14,8.89,14.14,…,10.22,8.48,11.94,9.12,12.49,9.71,10.17,9.99,11.74,12.56,24.59,9.92,…,11.35,10.27,14.70,11.60,1000.00,11.60,2025704
Canned Luncheon Meat [340g],18.93,19.72,20.78,17.45,22.96,19.04,20.26,17.21,20.34,18.57,21.59,…,18.70,15.63,17.74,18.37,17.91,18.71,17.91,16.21,17.67,16.95,19.90,20.74,19.76,19.63,17.50,19.00,18.88,340.00,6.42,2341620
Canned Pink Salmon [213g],23.07,26.03,26.56,26.43,18.85,29.06,24.01,27.00,27.75,33.29,26.40,…,32.02,19.77,24.95,13.10,24.93,18.42,19.34,18.73,20.38,21.02,23.43,22.33,20.73,26.70,19.89,21.58,23.65,213.00,5.04,173690
Ground Beef [1kg],22.62,11.15,15.92,15.49,12.47,15.99,18.92,21.01,13.84,17.09,19.27,…,16.86,14.52,14.54,17.51,18.22,8.76,19.63,14.31,15.73,16.51,19.82,15.08,20.36,16.72,15.36,17.50,16.48,1000.00,16.48,1942314
Pork Chops [1kg],17.03,17.25,…,13.32,15.23,12.09,17.29,15.60,13.80,15.64,…,…,…,21.45,16.67,15.26,15.88,13.82,13.97,16.27,21.64,15.99,…,14.52,…,15.25,16.19,17.38,15.93,1000.00,15.93,578039
Chicken Legs or Drumsticks [1kg],9.54,8.79,7.79,11.33,6.66,…,9.71,11.19,9.46,8.28,9.46,…,10.94,13.59,13.06,…,9.61,8.86,9.80,7.80,12.59,9.62,…,9.75,12.53,9.38,10.45,11.12,10.02,1000.00,10.02,2634897
Bacon [375-500g],23.64,24.88,26.68,24.70,24.45,32.28,28.75,24.49,22.81,33.17,19.68,26.64,28.26,21.26,26.34,26.90,26.70,21.63,29.24,19.31,20.01,30.48,20.51,28.04,24.20,26.19,24.48,24.65,25.40,375.00,9.53,2128991
Wieners [450g],13.52,13.31,14.10,14.16,13.60,12.48,15.78,13.31,12.63,16.52,13.31,10.87,13.60,12.04,13.75,11.50,13.89,12.61,11.80,13.31,11.47,12.50,13.64,14.18,12.18,13.63,12.70,12.79,13.20,450.00,5.94,2402994
Bologna [375-500g],12.41,13.73,11.98,17.84,19.60,19.18,17.94,15.38,14.65,19.91,…,…,16.49,12.35,18.78,26.11,18.70,14.21,14.78,11.38,12.70,18.04,13.98,13.18,19.67,16.28,16.61,15.52,16.22,375.00,6.08,2195188
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
